path	sha256	content_class	observed_declaration	normalized_spdx	license_references	module_license_metadata	source_origin	modification_status	patch_ids	redistribution_review_state	copyright_notices
drivers/innogpu/inno_idr.c	8bf8448e7e828d569e3d7fa1e9852ebd8ed7f83ef2b58f969a1e33d21a4f5338	unclassified	no mechanically recognized declaration	NOASSERTION	-	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	blocked-unclassified	-
drivers/innogpu/inno_idr.h	3961e80ef192a62988440e2680b09779800b32f0f8b747438accb8b08952884b	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_insn.c	c121b4658c91b875942b4e05eb74757e9092ade2e88173eccac956582ef0352b	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_insn.h	863c85059c0e4ffba36e7e4bcdb481c2cefaaabe32ff882bfc46f560bb0c2ba7	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_interrupt.c	f19900e3380f8008d8729598a456b4bb27475903ea213072d517d0e8c66b1a87	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_interrupt.h	7b5457351b30720d5b844bae5705b54d117ffd8921486814df8b81fbed72d646	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_io.c	a01b69c7584fff24e898fcdce7c4e5f89f78fb4afc1301419882fbb90ce83937	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_io.h	42fbd01fdc0cdc948ada845b9ead26d293ec4bfbdf2941534a815d8646f0a04d	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_kernel_hook.c	e19cc85194843587ec39c9250d0ef987e89f28272e55068d1655f3c35e0add1d	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_kernel_hook.h	ad03a4d1d9186373775c7b4a66d58af8e6e01b2c1bdfeb712ba2e80b6979ac54	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_lock.c	0cd272ccd377c64058c9da346541fca6aa56a4ea70cbea313dfcb963df574e6b	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_lock.h	1e3f436593859664e145becc122709095fea86d8f59e5a45bcaaaa53b1a0f03f	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
drivers/innogpu/inno_math.c	5fc919bdbb3a39d9085ac290172539678b67775773fb301e12a9baaedf683328	dual-mit-gpl	Dual MIT/GPLv2	MIT OR GPL-2.0-only	GPL-COPYING,MIT-COPYING	-	Deepin innogpu-fh2m 20250421190503-debug source payload	imported-unmodified	-	declared-rights-review-pending	Copyright (c) Innosilicon Technology Ltd. All Rights Reserved
